nmc=10
nx=4
kmax=20
run number  , frame , sample interval , truth:
6  5 1.273037  6.970651 -3.641194 131.355015 -1.432981
6  6 1.273037  2.800732 -2.829937 128.665425 -2.741672
6  7 1.273037  -0.026364 -1.556865 124.762377 -3.311986
6  8 1.273037  -1.139339 -0.169871 120.424592 -3.416954
6  9 1.273037  -0.483846 1.188011 116.099099 -3.296554
6  10 1.273037  1.812081 2.375589 112.211358 -2.738332
6  11 1.273037  5.495387 3.341973 109.426655 -1.582365
6  12 1.273037  10.031518 3.697747 108.497293 0.144562
6  13 1.273037  14.601554 3.394718 109.627022 1.609857
6  14 1.273037  18.449198 2.576779 112.489518 2.833367
6  15 1.273037  20.914524 1.248109 116.599927 3.545049
6  16 1.273037  21.633377 -0.132142 121.443223 3.973949
6  17 1.273037  20.465693 -1.680932 126.254510 3.490906
6  18 1.273037  17.394928 -3.087357 130.281086 2.759741
6  19 1.273037  12.773733 -4.086646 133.079129 1.584677
6  20 1.273037  7.259803 -4.471521 134.144696 0.070479
7  1 1.023513  24.488370 -0.990164 123.945636 3.648014
7  2 1.023513  22.981264 -1.930717 127.474831 3.194081
7  3 1.023513  20.487904 -2.903873 130.373803 2.425811
7  4 1.023513  17.160661 -3.546936 132.383163 1.469965
7  5 1.023513  13.391641 -3.759457 133.308046 0.323036
7  6 1.023513  9.506121 -3.774041 133.046874 -0.829372
7  7 1.023513  5.817268 -3.377695 131.664229 -1.850494
7  8 1.023513  2.702874 -2.660105 129.232214 -2.865028
7  9 1.023513  0.499708 -1.610657 125.956938 -3.484273
7  10 1.023513  -0.537994 -0.400469 122.110004 -3.975000
7  11 1.023513  -0.321832 0.819537 118.032702 -3.929725
7  12 1.023513  1.145571 2.025731 114.204445 -3.491979
7  13 1.023513  3.847248 3.213736 110.972798 -2.773590
7  14 1.023513  7.500414 3.868307 108.779292 -1.477375
7  15 1.023513  11.632821 4.143167 107.929697 -0.169165
7  16 1.023513  15.890001 4.110997 108.365351 1.013146
7  17 1.023513  19.872598 3.609952 109.972327 2.101420
7  18 1.023513  23.223145 2.886306 112.613474 3.018311
7  19 1.023513  25.681610 1.880187 116.142657 3.824221
7  20 1.023513  26.939549 0.557934 120.245129 4.128477
8  1 2.787796  20.589902 -2.977788 130.439563 3.070751
8  2 2.787796  9.852391 -4.270876 134.681553 -0.210421
8  3 2.787796  -0.842844 -2.964731 129.513492 -3.276512
8  4 2.787796  -3.998643 0.858655 118.262586 -4.314129
