nmc=10
nx=4
kmax=56
run number  , frame , sample interval , truth:
2  50 2.843626  160.041454 15.095565 316.512808 -1.617281
2  51 2.843626  205.735164 17.042072 310.806034 -2.396450
2  52 2.843626  243.674540 9.641730 294.681713 -8.944227
2  53 2.843626  272.093134 10.345845 270.559533 -8.021562
2  54 2.843626  303.953648 12.062528 256.067504 -2.171079
2  55 2.843626  335.250276 9.949248 253.997432 0.715140
2  56 2.843626  379.390790 21.095985 255.114405 0.070458
3  1 2.843626  24.779239 -0.155267 130.611006 3.463011
3  2 2.843626  24.065765 -0.346539 140.093679 3.206412
3  3 2.843626  23.707172 0.094330 149.384982 3.328415
3  4 2.843626  23.663482 -0.125058 158.468327 3.060151
3  5 2.843626  23.281465 -0.143625 167.442008 3.251284
3  6 2.843626  22.881152 -0.137926 176.461659 3.092483
3  7 2.843626  21.917087 -0.540127 185.133094 3.006375
3  8 2.843626  20.223418 -0.651077 193.340746 2.766291
3  9 2.843626  17.746153 -1.091251 201.168320 2.739056
3  10 2.843626  14.853190 -0.943449 209.123151 2.855794
3  11 2.843626  12.693993 -0.575174 217.168738 2.802888
3  12 2.843626  10.751433 -0.791081 224.898469 2.633644
3  13 2.843626  7.760515 -1.312513 233.126388 3.153277
3  14 2.843626  3.876557 -1.419180 242.177099 3.212336
3  15 2.843626  -0.022093 -1.322847 255.490174 6.151114
3  16 2.843626  -4.043897 -1.505798 273.672148 6.636767
3  17 2.843626  -8.026094 -1.294990 295.827549 8.945733
3  18 2.843626  -12.032062 -1.522517 323.260125 10.348349
3  19 2.843626  -16.474009 -1.601626 353.564827 10.965778
3  20 2.843626  -20.935591 -1.536327 386.183956 11.976150
3  21 2.843626  -24.760209 -1.153631 424.181359 14.748464
3  22 2.843626  -28.172392 -1.246251 457.984828 9.026441
3  23 2.843626  -31.454908 -1.062433 479.086320 5.814816
3  24 2.843626  -34.182528 -0.855976 498.825746 8.068463
3  25 2.843626  -37.064849 -1.171239 530.438780 14.165849
3  26 2.843626  -40.237260 -1.060004 579.102565 20.060724
3  27 2.843626  -43.454640 -1.202867 636.995168 20.656729
3  28 2.843626  -46.627239 -1.028509 702.853074 25.662940
3  29 2.843626  -49.825033 -1.220587 776.955611 26.455403
3  30 2.843626  -53.665506 -1.480523 851.395923 25.900506
3  31 2.843626  -57.540389 -1.244788 924.370115 25.424242
3  32 2.843626  -61.061917 -1.231999 997.644208 26.111435
3  33 2.843626  -64.182096 -0.962509 1071.682815 25.961945
3  34 2.843626  -66.444109 -0.628427 1145.705023 26.099901
3  35 2.843626  -67.823265 -0.341571 1220.751974 26.682675
3  36 2.843626  -69.445677 -0.799516 1297.128362 27.034930
3  37 2.843626  -71.504521 -0.648525 1374.868589 27.641901
3  38 2.843626  -72.827940 -0.282272 1453.466363 27.638066
3  39 2.843626  -73.325120 -0.067408 1531.690011 27.378768
3  40 2.843626  -73.468755 -0.033613 1609.700521 27.488160
3  41 2.843626  -73.374593 0.099840 1688.392042 27.857742
3  42 2.843626  -72.764304 0.329393 1767.193632 27.565574
3  43 2.843626  -70.577120 1.208914 1855.375503 34.455151
3  44 2.843626  -73.351776 -3.160405 1944.442937 28.188414
3  45 2.843626  -84.644924 -4.782376 2025.080976 28.526527
3  46 2.843626  -93.223616 -1.251253 2101.541733 25.250417
