nmc=10
nx=5
kmax=152
run number  , frame , sample interval , truth:
1  92 1.309290  210.987144 3.422311 171.873249 5.609726 0.000000
1  93 1.309290  215.462068 3.413338 179.336432 5.790624 0.000000
1  94 1.309290  220.034510 3.571274 186.913922 5.784334 0.000000
1  95 1.309290  224.803515 3.713596 194.570844 5.911962 0.000000
1  96 1.309290  229.781292 3.890183 202.408016 6.059674 0.000000
1  97 1.309290  234.873764 3.888798 210.277229 5.960905 0.000000
1  98 1.309290  239.944028 3.856261 218.129329 6.033534 0.000000
1  99 1.309290  244.981002 3.837946 226.243044 6.360534 0.000000
1  100 1.309290  250.148917 4.056277 234.488573 6.234884 0.000000
1  101 1.309290  255.511297 4.135001 242.793333 6.451014 0.000000
1  102 1.309290  260.753324 3.872432 251.154776 6.321468 0.000000
1  103 1.309290  265.792212 3.824696 259.241798 6.031824 0.000000
1  104 1.309290  270.845186 3.893950 267.209238 6.138801 0.000000
1  105 1.309290  275.965837 3.928077 275.114747 5.937222 0.000000
1  106 1.309290  281.143839 3.981556 282.916201 5.979852 0.000000
1  107 1.309290  286.390126 4.032386 290.850686 6.140433 0.000000
1  108 1.309290  291.660088 4.017719 298.816929 6.028363 0.000000
1  109 1.309290  297.063476 4.236200 306.727377 6.055205 0.000000
1  110 1.309290  302.604439 4.227872 314.589891 5.955140 0.000000
1  111 1.309290  308.196702 4.314563 322.397408 5.971196 0.000000
1  112 1.309290  313.812863 4.264376 330.309716 6.115212 0.000000
1  113 1.309290  319.444829 4.338707 338.512477 6.414878 0.000000
1  114 1.309290  325.166194 4.400938 346.938878 6.456832 0.000000
1  115 1.309290  330.991146 4.496940 355.502214 6.624052 0.000000
1  116 1.309290  336.838966 4.435871 364.182402 6.635328 0.000000
1  117 1.309290  342.535393 4.265680 372.811759 6.546405 0.000000
1  118 1.309290  348.131562 4.282721 381.491116 6.711705 0.000000
1  119 1.309290  353.856545 4.462451 390.297401 6.740294 0.000000
1  120 1.309290  359.562143 4.253108 399.127596 6.748228 0.000000
1  121 1.309290  364.991287 4.040155 407.992886 6.793905 0.000000
1  122 1.309290  370.404924 4.229422 416.937451 6.869322 0.000000
1  123 1.309290  372.885818 -0.566679 427.008742 7.959298 0.585931
1  124 1.309290  368.437718 -5.889309 436.137494 5.292401 0.587778
1  125 1.309290  358.786642 -8.129076 439.492339 -0.429801 0.785810
1  126 1.309290  350.197081 -3.812389 434.070810 -7.100389 0.823100
1  127 1.309290  350.676230 4.474506 424.083826 -6.641650 0.799732
1  128 1.309290  359.527169 7.766532 419.639794 0.478052 0.674080
1  129 1.309290  368.186102 4.592336 424.510731 6.485197 0.664137
1  130 1.309290  369.934159 -2.099355 434.464298 7.752838 0.666743
1  131 1.309290  363.405367 -7.228203 442.236179 3.354169 0.808763
1  132 1.309290  353.491721 -6.474036 441.259704 -4.708463 0.852645
1  133 1.309290  349.787818 1.419604 432.009958 -7.926669 0.753891
1  134 1.309290  356.018527 7.304931 424.106338 -3.146861 0.773795
1  135 1.309290  366.013188 6.642888 425.095506 4.525738 0.572565
1  136 1.309290  371.814172 1.800498 433.685455 7.982238 0.535864
1  137 1.309290  370.566519 -3.621075 444.050639 7.193460 0.412540
1  138 1.309290  363.601642 -6.756995 451.614375 4.072477 0.337176
1  139 1.309290  353.994695 -7.676121 454.847141 0.785097 0.397449
1  140 1.309290  344.131137 -7.049340 453.380506 -2.970934 0.481381
