nmc=10
nx=4
kmax=20
run number  , frame , sample interval , truth:
6  8 1.000000  25.110435 0.040054 153.085006 4.275993
6  9 1.000000  25.140056 0.019189 157.398794 4.351584
6  10 1.000000  25.233340 0.167377 161.752015 4.354858
6  11 1.000000  25.361585 0.089114 166.068507 4.278128
6  12 1.000000  25.402499 -0.007285 170.227676 4.040210
6  13 1.000000  25.386022 -0.025668 174.259506 4.023449
6  14 1.000000  25.335294 -0.075789 178.247701 3.952941
6  15 1.000000  25.270961 -0.052876 182.152668 3.856992
6  16 1.000000  25.173561 -0.141925 186.016612 3.870898
6  17 1.000000  25.013707 -0.177783 189.783628 3.663134
6  18 1.000000  24.868514 -0.112602 193.427906 3.625421
6  19 1.000000  24.736736 -0.150954 197.026903 3.572573
6  20 1.000000  24.459782 -0.402954 200.628719 3.631059
7  1 1.000000  24.878802 -0.242396 123.988808 3.977617
7  2 1.000000  24.626261 -0.262688 127.890771 3.826309
7  3 1.000000  24.381904 -0.226026 131.687775 3.767698
7  4 1.000000  24.062739 -0.412303 135.432764 3.722279
7  5 1.000000  23.639405 -0.434366 139.141091 3.694375
7  6 1.000000  23.132839 -0.578766 142.866083 3.755609
7  7 1.000000  22.546767 -0.593378 146.634096 3.780417
7  8 1.000000  22.034488 -0.431181 150.445835 3.843061
7  9 1.000000  21.580240 -0.477314 154.218598 3.702464
7  10 1.000000  21.190491 -0.302185 157.958723 3.777786
7  11 1.000000  20.892447 -0.293902 161.774819 3.854406
7  12 1.000000  20.641710 -0.207572 165.663194 3.922344
7  13 1.000000  20.497106 -0.081636 169.587746 3.926759
7  14 1.000000  20.465305 0.018034 173.575301 4.048351
7  15 1.000000  20.474732 0.000820 177.606854 4.014755
7  16 1.000000  20.447039 -0.056206 181.546679 3.864895
7  17 1.000000  20.395008 -0.047856 185.490449 4.022647
7  18 1.000000  20.307912 -0.126336 189.449940 3.896335
7  19 1.000000  20.116548 -0.256392 193.316024 3.835833
7  20 1.000000  19.846288 -0.284128 197.087172 3.706464
8  1 1.000000  24.996419 -0.007162 123.879270 3.758541
8  2 1.000000  25.005740 0.025803 127.667739 3.818395
8  3 1.000000  24.899794 -0.237695 131.487537 3.821201
8  4 1.000000  24.645720 -0.270453 135.250825 3.705376
8  5 1.000000  24.357723 -0.305541 139.000806 3.794586
8  6 1.000000  24.050885 -0.308134 142.739860 3.683523
8  7 1.000000  23.716887 -0.359861 146.395423 3.627602
8  8 1.000000  23.344601 -0.384713 150.015533 3.612619
8  9 1.000000  23.094402 -0.115685 153.642637 3.641588
8  10 1.000000  22.906928 -0.259262 157.291653 3.656446
8  11 1.000000  22.704755 -0.145085 161.025696 3.811639
8  12 1.000000  22.581803 -0.100819 164.882890 3.902749
8  13 1.000000  22.519128 -0.024532 168.721230 3.773930
8  14 1.000000  22.494279 -0.025165 172.521384 3.826379
8  15 1.000000  22.429760 -0.103872 176.385363 3.901579
8  16 1.000000  22.430591 0.105535 180.290950 3.909594
8  17 1.000000  22.620227 0.273737 184.230225 3.968958
8  18 1.000000  22.886036 0.257879 188.242728 4.056048
8  19 1.000000  23.117584 0.205216 192.264502 3.987500
8  20 1.000000  23.335228 0.230074 196.257125 3.997745
9  1 1.000000  24.974461 -0.051078 124.012462 4.024924
9  2 1.000000  24.921519 -0.054806 127.957221 3.864593
9  3 1.000000  24.890973 -0.006287 131.851752 3.924468
9  4 1.000000  24.867929 -0.039801 135.760098 3.892223
9  5 1.000000  24.839806 -0.016444 139.714083 4.015748
9  6 1.000000  24.859506 0.055843 143.731806 4.019698
9  7 1.000000  24.863661 -0.047532 147.713318 3.943327
9  8 1.000000  24.793941 -0.091908 151.658145 3.946327
9  9 1.000000  24.702948 -0.090079 155.645370 4.028123
9  10 1.000000  24.607185 -0.101448 159.679890 4.040917
9  11 1.000000  24.501264 -0.110394 163.669643 3.938590
9  12 1.000000  24.355335 -0.181464 167.549759 3.821640
9  13 1.000000  24.087582 -0.354041 171.412059 3.902960
9  14 1.000000  23.740474 -0.340175 175.272043 3.817007
9  15 1.000000  23.457837 -0.225099 179.058649 3.756204
9  16 1.000000  23.214065 -0.262446 182.773252 3.673001
9  17 1.000000  22.872967 -0.419751 186.547036 3.874568
9  18 1.000000  22.441050 -0.444082 190.430268 3.891896
9  19 1.000000  21.970883 -0.496253 194.393762 4.035092
9  20 1.000000  21.449098 -0.547316 198.466029 4.109443
10  1 1.000000  25.026650 0.053299 124.051642 4.103285
10  2 1.000000  25.078110 0.049621 128.093545 3.980521
10  3 1.000000  25.073552 -0.058737 131.976356 3.785100
10  4 1.000000  24.928641 -0.231086 135.824610 3.911408
10  5 1.000000  24.703101 -0.219995 139.810398 4.060169
10  6 1.000000  24.481762 -0.222682 143.879246 4.077527
10  7 1.000000  24.296844 -0.147153 147.982175 4.128330
10  8 1.000000  24.100549 -0.245438 152.063301 4.033921
10  9 1.000000  23.810376 -0.334908 156.137828 4.115133
10  10 1.000000  23.496022 -0.293801 160.187617 3.984446
10  11 1.000000  23.176682 -0.344879 164.183810 4.007939
10  12 1.000000  22.852775 -0.302935 168.251304 4.127049
10  13 1.000000  22.564111 -0.274392 172.419657 4.209658
10  14 1.000000  22.328459 -0.196913 176.694613 4.340253
10  15 1.000000  22.048819 -0.362368 180.985346 4.241213
10  16 1.000000  21.656114 -0.423040 185.260899 4.309893
10  17 1.000000  21.166022 -0.557145 189.594767 4.357844
10  18 1.000000  20.623565 -0.527767 193.945592 4.343807
10  19 1.000000  20.066671 -0.586021 198.244582 4.254172
10  20 1.000000  19.496326 -0.554670 202.397500 4.051664
