nmc=50
nx=2
kmax=100
run number  , frame , sample interval , truth:
2  51 1.000000  -496.448602 -11.282612
2  52 1.000000  -507.500203 -10.820590
2  53 1.000000  -518.281498 -10.742000
2  54 1.000000  -529.610982 -11.916968
2  55 1.000000  -541.551385 -11.963838
2  56 1.000000  -552.771689 -10.476771
2  57 1.000000  -563.300928 -10.581706
2  58 1.000000  -573.963987 -10.744412
2  59 1.000000  -583.998502 -9.324617
2  60 1.000000  -592.496967 -7.672315
2  61 1.000000  -599.738786 -6.811323
2  62 1.000000  -606.374634 -6.460372
2  63 1.000000  -613.223044 -7.236448
2  64 1.000000  -620.078466 -6.474395
2  65 1.000000  -626.329161 -6.026995
2  66 1.000000  -631.681544 -4.677772
2  67 1.000000  -636.503154 -4.965448
2  68 1.000000  -641.009193 -4.046628
2  69 1.000000  -645.353309 -4.641603
2  70 1.000000  -650.430512 -5.512803
2  71 1.000000  -656.379568 -6.385308
2  72 1.000000  -662.786999 -6.429553
2  73 1.000000  -667.989211 -3.974871
2  74 1.000000  -672.351994 -4.750696
2  75 1.000000  -677.107218 -4.759751
2  76 1.000000  -681.057331 -3.140476
2  77 1.000000  -684.694404 -4.133671
2  78 1.000000  -688.782585 -4.042691
2  79 1.000000  -692.929878 -4.251894
2  80 1.000000  -697.166450 -4.221250
2  81 1.000000  -701.183780 -3.813412
2  82 1.000000  -705.527694 -4.874415
2  83 1.000000  -710.241798 -4.553793
2  84 1.000000  -715.285613 -5.533838
2  85 1.000000  -720.995767 -5.886470
2  86 1.000000  -726.586390 -5.294775
2  87 1.000000  -732.015649 -5.563743
2  88 1.000000  -738.063459 -6.531877
2  89 1.000000  -744.334093 -6.009392
2  90 1.000000  -749.867756 -5.057935
2  91 1.000000  -754.988535 -5.183621
2  92 1.000000  -760.141415 -5.122140
2  93 1.000000  -765.631037 -5.857103
2  94 1.000000  -772.120707 -7.122237
2  95 1.000000  -779.571748 -7.779845
2  96 1.000000  -786.811336 -6.699331
2  97 1.000000  -793.429322 -6.536641
2  98 1.000000  -799.357433 -5.319582
2  99 1.000000  -804.465630 -4.896812
2  100 1.000000  -809.465203 -5.102334
3  1 1.000000  -7.396940 -7.658181
3  2 1.000000  -15.313869 -8.175677
3  3 1.000000  -23.074194 -7.344973
3  4 1.000000  -30.933832 -8.374302
3  5 1.000000  -39.088010 -7.934054
3  6 1.000000  -46.267550 -6.425025
3  7 1.000000  -52.308549 -5.656973
3  8 1.000000  -58.021312 -5.768552
3  9 1.000000  -63.168456 -4.525736
3  10 1.000000  -68.628902 -6.395157
3  11 1.000000  -74.870323 -6.087685
3  12 1.000000  -82.084365 -8.340399
3  13 1.000000  -90.566038 -8.622946
3  14 1.000000  -99.960921 -10.166822
3  15 1.000000  -110.885302 -11.681939
3  16 1.000000  -122.986097 -12.519651
3  17 1.000000  -135.103636 -11.715429
3  18 1.000000  -146.982972 -12.043242
3  19 1.000000  -159.245506 -12.481827
3  20 1.000000  -171.425474 -11.878110
3  21 1.000000  -182.772078 -10.815098
