nmc=10
nx=5
kmax=157
run number  , frame , sample interval , truth:
1  89 1.272188  -168.319032 0.156011 123.698761 4.215715 0.000000
1  90 1.272188  -169.727381 -2.291956 128.681078 3.346393 0.000000
1  91 1.272188  -173.704203 -3.744799 131.698380 1.232747 0.000000
1  92 1.272188  -178.711096 -3.863327 131.656557 -1.298489 0.000000
1  93 1.272188  -182.791826 -2.334108 128.571094 -3.389168 0.000000
1  94 1.272188  -184.229274 0.151555 123.658539 -4.070206 0.000000
1  95 1.272188  -184.116876 0.025146 118.345668 -4.282130 0.000000
1  96 1.272188  -184.065564 0.055522 112.917487 -4.251485 0.000000
1  97 1.272188  -183.966135 0.100790 107.416028 -4.397330 0.000000
1  98 1.272188  -183.802417 0.156589 101.857579 -4.341079 0.000000
1  99 1.272188  -183.500304 0.318362 96.303280 -4.390805 0.000000
1  100 1.272188  -183.144317 0.241282 90.814274 -4.238433 0.000000
1  101 1.272188  -182.713923 0.435339 85.275068 -4.469723 0.000000
1  102 1.272188  -182.202354 0.368896 79.363000 -4.824608 0.000000
1  103 1.272188  -181.792445 0.275520 73.304178 -4.700436 0.000000
1  104 1.272188  -181.503631 0.178523 67.361770 -4.641592 0.000000
1  105 1.272188  -181.273690 0.182965 61.394844 -4.738980 0.000000
1  106 1.272188  -181.084236 0.114875 55.406921 -4.674603 0.000000
1  107 1.272188  -181.090889 -0.125334 49.401782 -4.766044 0.000000
1  108 1.272188  -181.316761 -0.229757 43.352714 -4.743664 0.000000
1  109 1.272188  -181.695046 -0.364944 37.401727 -4.611850 0.000000
1  110 1.272188  -182.104207 -0.278295 31.606397 -4.498959 0.000000
1  111 1.272188  -182.430790 -0.235125 25.927791 -4.428348 0.000000
1  112 1.272188  -182.814750 -0.368497 20.222429 -4.541022 0.000000
1  113 1.272188  -183.301105 -0.396098 14.344436 -4.699740 0.000000
1  114 1.272188  -183.760076 -0.325448 8.412457 -4.625892 0.000000
1  115 1.272188  -184.120144 -0.240613 2.521324 -4.635527 0.000000
1  116 1.272188  -184.443362 -0.267515 -3.296084 -4.509990 0.000000
1  117 1.272188  -184.802707 -0.297410 -9.003843 -4.463147 0.000000
1  118 1.272188  -185.068956 -0.121159 -14.507703 -4.189442 0.000000
1  119 1.272188  -185.308457 -0.255359 -19.785134 -4.107181 0.000000
1  120 1.272188  -185.600748 -0.204150 -24.965733 -4.037212 0.000000
1  121 1.272188  -185.844376 -0.178855 -30.113454 -4.055493 0.000000
1  122 1.272188  -185.956955 0.001870 -35.272560 -4.055110 0.000000
1  123 1.272188  -186.068488 -0.177210 -40.529131 -4.208718 0.000000
1  124 1.272188  -186.229406 -0.075769 -45.854368 -4.163058 0.000000
1  125 1.272188  -186.351659 -0.116425 -51.144850 -4.154082 0.000000
1  126 1.272188  -184.995287 2.169434 -56.003716 -3.218682 0.462509
1  127 1.272188  -181.057488 3.849001 -59.064594 -1.453082 0.532037
1  128 1.272188  -175.957756 3.857789 -59.173073 1.289547 0.261327
1  129 1.272188  -171.469469 3.132251 -56.758015 2.472063 0.094150
1  130 1.272188  -167.497162 3.105473 -53.298723 2.959926 0.185914
1  131 1.272188  -163.961909 2.426819 -49.122430 3.574826 0.061318
1  132 1.272188  -161.061234 2.130999 -44.325577 3.962563 0.272956
1  133 1.272188  -159.248016 0.691210 -38.953530 4.397224 0.338037
1  134 1.272188  -159.654399 -1.322015 -33.348485 4.278108 0.451130
1  135 1.272188  -162.808486 -3.501544 -28.702680 2.822506 0.446534
1  136 1.272188  -168.162196 -4.693465 -26.649554 0.313001 0.503521
1  137 1.272188  -173.844736 -3.931813 -28.189384 -2.653844 0.444245
1  138 1.272188  -177.722544 -2.004140 -32.795984 -4.395677 0.557781
1  139 1.272188  -178.310091 1.109650 -38.784360 -4.619333 0.458563
1  140 1.272188  -175.291582 3.501252 -43.818934 -3.064621 0.656009
1  141 1.272188  -169.932650 4.416681 -45.551944 0.497894 0.576671
1  142 1.272188  -165.021402 2.955188 -42.880440 3.520641 0.559122
1  143 1.272188  -163.119473 -0.093765 -37.568340 4.470004 0.476422
1  144 1.272188  -164.834999 -2.516847 -32.269448 3.603237 0.678845
1  145 1.272188  -169.459983 -4.291205 -29.662914 0.223735 0.595192
1  146 1.272188  -174.484200 -3.223967 -31.390234 -2.809425 0.608282
1  147 1.272188  -176.882198 -0.356595 -36.262086 -4.474175 0.519198
1  148 1.272188  -175.599115 2.293629 -41.746080 -3.834456 0.540234
1  149 1.272188  -171.188155 4.372298 -45.189272 -1.357810 0.546747
1  150 1.272188  -165.432962 4.311084 -44.967304 1.689746 0.698260
1  151 1.272188  -161.507347 1.452033 -40.726243 4.542003 0.515152
1  152 1.272188  -161.787434 -1.886188 -34.888047 4.298554 0.496602
1  153 1.272188  -165.797836 -4.212514 -30.406960 2.515631 0.617532
1  154 1.272188  -171.770340 -4.685117 -29.573078 -1.276760 0.890708
1  155 1.272188  -175.843343 -1.040910 -33.925678 -4.821636 0.775110
1  156 1.272188  -174.224971 3.369232 -39.679387 -3.474078 0.805811
1  157 1.272188  -168.689524 4.541459 -41.223609 1.281028 0.828258
2  1 1.272188  24.415243 -0.913826 125.061575 3.914535 0.252287
2  2 1.272188  22.505063 -2.062999 129.730812 3.362275 0.235162
2  3 1.272188  19.213230 -3.074254 133.594925 2.667568 0.416779
2  4 1.272188  14.522710 -4.129130 135.815184 0.740589 0.434381
2  5 1.272188  9.271684 -3.915126 135.353072 -1.446164 0.302225
2  6 1.272188  4.680940 -3.214406 132.616736 -2.802408 0.223431
2  7 1.272188  1.022819 -2.499078 128.428577 -3.738375 0.061425
2  8 1.272188  -1.876433 -2.056428 123.680182 -3.722651 -0.031041
2  9 1.272188  -4.512573 -2.087281 119.005803 -3.624960 -0.117275
2  10 1.272188  -7.523563 -2.637560 114.440282 -3.539645 -0.099379
2  11 1.272188  -11.174220 -3.094013 110.164080 -3.173987 -0.212819
2  12 1.272188  -15.586428 -3.799786 106.851432 -2.000549 -0.402208
2  13 1.272188  -20.889318 -4.355545 105.445137 -0.168061 -0.271730
2  14 1.272188  -26.367111 -4.170288 106.259780 1.437169 -0.139864
2  15 1.272188  -31.635324 -4.090615 108.519264 2.105454 -0.235608
